Group,Factor1,Factor2,Color
CHL,-1.32730848557528,0.221989000831295,blue
CHL,-1.31152428283786,1.52430705770592,blue
CHL,-1.31986666644848,0.010388826074625,blue
CHL,-1.13254158427419,1.3955857921633,blue
CHL,-1.0453102992452,1.07148241520578,blue
CHL,-1.48770926321364,1.95774272218099,blue
CHL,-1.51485825391818,-0.0980405655161702,blue
CHL,-1.45654208311285,0.213146167761234,blue
CHL,-1.26471390691215,-0.141469594841612,blue
CHL,-1.33428732232728,0.900358052420633,blue
CTL,-1.00412831542575,0.736025748445522,maroon
CTL,-0.969894374189054,0.446259536596181,maroon
CTL,-1.20596127211197,-0.172289911860513,maroon
CTL,-1.03628852938144,0.721915656588193,maroon
CTL,-0.967307445496144,0.633173620339843,maroon
CTL,-0.980777095034584,1.02714017378779,maroon
CTL,-0.933328837892778,-0.154431748948649,maroon
CTL,-1.26723358762446,-0.0433488292152665,maroon
RAP,-0.693283313060415,-0.55248310381826,darkkhaki
RAP,-0.680084096799718,-1.40843962917714,darkkhaki
RAP,-0.641801341831838,0.365773924639914,darkkhaki
RAP,-0.8606977150014,-1.0842326207515,darkkhaki
RAP,-0.91247283100768,-1.11479979871159,darkkhaki
RAP,-0.780746339773546,-0.691088006777577,darkkhaki
RAP,-0.657006466172992,-2.50045258304262,darkkhaki
RAP,-0.623450279695409,-0.328833726397648,darkkhaki
RAP,-0.719459944351917,-0.410693885213783,darkkhaki
RAP,-0.705488734328623,-1.11706250461651,darkkhaki
SUR,-0.684282044093936,-0.984352487586878,red
SUR,-0.684721351550563,-1.31030802674401,red
SUR,-0.650561152119571,-0.470679438996836,red
SUR,-0.776853917553092,0.730067441717197,red
SUR,-0.790770847731162,-0.693859188443583,red
SUR,-0.804644654667274,-1.65651963410535,red
SUR,-0.619035594332641,-0.0671991808256772,red
SUR,-0.621122442378036,-1.36236593548296,red
SUR,-0.78656034212663,-1.34631814850712,red
SUR,-0.735927185314232,-0.777779283439062,red
